alcohol,malic_acid,ash,magnesium,phenols,proline,quality
14.23,1.71,2.43,127,2.8,1065,1
13.2,1.78,2.14,100,2.65,1050,1
13.16,2.36,2.67,101,2.8,1185,1
14.37,1.95,2.5,113,3.85,1480,1
13.24,2.59,2.87,118,2.8,735,1
14.2,1.76,2.45,112,3.27,1450,1
14.39,1.87,2.45,96,2.5,1290,1
14.06,2.15,2.61,121,2.6,1295,1
14.83,1.64,2.17,97,2.8,1045,1
13.86,1.35,2.27,98,2.98,1045,1
14.1,2.16,2.3,105,2.95,1510,1
14.12,1.48,2.32,95,2.2,1280,1
13.75,1.73,2.41,89,2.6,1320,1
14.75,1.73,2.39,91,3.1,1150,1
14.38,1.87,2.38,102,3.3,1547,1
13.63,1.81,2.7,112,2.85,1310,1
14.3,1.92,2.72,120,2.8,1280,1
13.83,1.57,2.62,115,2.95,1130,1
14.19,1.59,2.48,108,3.3,1680,1
13.64,3.1,2.56,116,2.7,845,1
14.06,1.63,2.28,126,3.0,780,1
12.93,3.8,2.65,102,2.41,770,1
13.71,1.86,2.36,101,2.61,1035,1
12.85,1.6,2.52,95,2.48,1015,1
13.5,1.81,2.61,96,2.53,845,1
13.05,2.05,3.22,124,2.63,830,1
13.39,1.77,2.62,93,2.85,1195,1
13.3,1.72,2.14,94,2.4,1285,1
13.87,1.9,2.8,107,2.95,915,1
14.02,1.68,2.21,96,2.65,1035,1
13.73,1.5,2.7,101,3.0,1285,1
13.58,1.66,2.36,106,2.86,1515,1
13.68,1.83,2.36,104,2.42,990,1
13.76,1.53,2.7,132,2.95,1235,1
13.51,1.8,2.65,110,2.35,1095,1
13.48,1.81,2.41,100,2.7,920,1
13.28,1.64,2.84,110,2.6,880,1
13.05,1.65,2.55,98,2.45,1105,1
13.07,1.5,2.1,98,2.4,1020,1
14.22,3.99,2.51,128,3.0,760,1
13.56,1.71,2.31,117,3.15,795,1
13.41,3.84,2.12,90,2.45,1035,1
13.88,1.89,2.59,101,3.25,1095,1
13.24,3.98,2.29,103,2.64,680,1
13.05,1.77,2.1,107,3.0,885,1
14.21,4.04,2.44,111,2.85,1080,1
14.38,3.59,2.28,102,3.25,1065,1
13.9,1.68,2.12,101,3.1,985,1
14.1,2.02,2.4,103,2.75,1060,1
13.94,1.73,2.27,108,2.88,1260,1
13.05,1.73,2.04,92,2.72,1150,1
13.83,1.65,2.6,94,2.45,1265,1
13.82,1.75,2.42,111,3.88,1190,1
13.77,1.9,2.68,115,3.0,1375,1
13.74,1.67,2.25,118,2.6,1060,1
13.56,1.73,2.46,116,2.96,1120,1
14.22,1.7,2.3,118,3.2,970,1
13.29,1.97,2.68,102,3.0,1270,1
13.72,1.43,2.5,108,3.4,1285,1
12.37,0.94,1.36,88,1.98,520,2
12.33,1.1,2.28,101,2.05,680,2
12.64,1.36,2.02,100,2.02,450,2
13.67,1.25,1.92,94,2.1,630,2
12.37,1.13,2.16,87,3.5,420,2
12.17,1.45,2.53,104,1.89,355,2
12.37,1.21,2.56,98,2.42,678,2
13.11,1.01,1.7,78,2.98,502,2
12.37,1.17,1.92,78,2.11,510,2
13.34,0.94,2.36,110,2.53,750,2
12.21,1.19,1.75,151,1.85,718,2
12.29,1.61,2.21,103,1.1,870,2
13.86,1.51,2.67,86,2.95,410,2
13.49,1.66,2.24,87,1.88,472,2
12.99,1.67,2.6,139,3.3,985,2
11.96,1.09,2.3,101,3.38,886,2
11.66,1.88,1.92,97,1.61,428,2
13.03,0.9,1.71,86,1.95,392,2
11.84,2.89,2.23,112,1.72,500,2
12.33,0.99,1.95,136,1.9,750,2
12.7,3.87,2.4,101,2.83,463,2
12.0,0.92,2.0,86,2.42,278,2
12.72,1.81,2.2,86,2.2,714,2
12.08,1.13,2.51,78,2.0,630,2
13.05,3.86,2.32,85,1.65,515,2
11.84,0.89,2.58,94,2.2,520,2
12.67,0.98,2.24,99,2.2,450,2
12.16,1.61,2.31,90,1.78,495,2
11.65,1.67,2.62,88,1.92,562,2
11.64,2.06,2.46,84,1.95,680,2
12.08,1.33,2.3,70,2.2,625,2
12.08,1.83,2.32,81,1.6,480,2
12.0,1.51,2.42,86,1.45,450,2
12.69,1.53,2.26,80,1.38,495,2
12.29,2.83,2.22,88,2.45,290,2
11.62,1.99,2.28,98,3.02,345,2
12.47,1.52,2.2,162,2.5,937,2
11.81,2.12,2.74,134,1.6,625,2
12.29,1.41,1.98,85,2.55,428,2
12.37,1.07,2.1,88,3.52,660,2
12.29,3.17,2.21,88,2.85,406,2
12.08,2.08,1.7,97,2.23,710,2
12.6,1.34,1.9,88,1.45,562,2
12.34,2.45,2.46,98,2.56,438,2
11.82,1.72,1.88,86,2.5,415,2
12.51,1.73,1.98,85,2.2,672,2
12.42,2.55,2.27,90,1.68,315,2
12.25,1.73,2.12,80,1.65,510,2
12.72,1.75,2.28,84,1.38,488,2
12.22,1.29,1.94,92,2.36,312,2
11.61,1.35,2.7,94,2.74,680,2
11.46,3.74,1.82,107,3.18,562,2
12.52,2.43,2.17,88,2.55,325,2
11.76,2.68,2.92,103,1.75,607,2
11.41,0.74,2.5,88,2.48,434,2
12.08,1.39,2.5,84,2.56,385,2
11.03,1.51,2.2,85,2.46,407,2
11.82,1.47,1.99,86,1.98,495,2
12.42,1.61,2.19,108,2.0,345,2
12.77,3.43,1.98,80,1.63,372,2
12.0,3.43,2.0,87,2.0,564,2
11.45,2.4,2.42,96,2.9,625,2
11.56,2.05,3.23,119,3.18,465,2
12.42,4.43,2.73,102,2.2,365,2
13.05,5.8,2.13,86,2.62,380,2
11.87,4.31,2.39,82,2.86,380,2
12.07,2.16,2.17,85,2.6,378,2
12.43,1.53,2.29,86,2.74,352,2
11.79,2.13,2.78,92,2.13,466,2
12.37,1.63,2.3,88,2.22,342,2
12.04,4.3,2.38,80,2.1,580,2
12.86,1.35,2.32,122,1.51,630,3
12.88,2.99,2.4,104,1.3,530,3
12.81,2.31,2.4,98,1.15,560,3
12.7,3.55,2.36,106,1.7,600,3
12.51,1.24,2.25,85,2.0,650,3
12.6,2.46,2.2,94,1.62,695,3
12.25,4.72,2.54,89,1.38,720,3
12.53,5.51,2.64,96,1.79,515,3
13.49,3.59,2.19,88,1.62,580,3
12.84,2.96,2.61,101,2.32,590,3
12.93,2.81,2.7,96,1.54,600,3
13.36,2.56,2.35,89,1.4,780,3
13.52,3.17,2.72,97,1.55,520,3
13.62,4.95,2.35,92,2.0,550,3
12.25,3.88,2.2,112,1.38,855,3
13.16,3.57,2.15,102,1.5,830,3
13.88,5.04,2.23,80,0.98,415,3
12.87,4.61,2.48,86,1.7,625,3
13.32,3.24,2.38,92,1.93,650,3
13.08,3.9,2.36,113,1.41,550,3
13.5,3.12,2.62,123,1.4,500,3
12.79,2.67,2.48,112,1.48,480,3
13.11,1.9,2.75,116,2.2,425,3
13.23,3.3,2.28,98,1.8,675,3
12.58,1.29,2.1,103,1.48,640,3
13.17,5.19,2.32,93,1.74,725,3
13.84,4.12,2.38,89,1.8,480,3
12.45,3.03,2.64,97,1.9,880,3
14.34,1.68,2.7,98,2.8,660,3
13.48,1.67,2.64,89,2.6,620,3
12.36,3.83,2.38,88,2.3,520,3
13.69,3.26,2.54,107,1.83,680,3
12.85,3.27,2.58,106,1.65,570,3
12.96,3.45,2.35,106,1.39,675,3
13.78,2.76,2.3,90,1.35,615,3
13.73,4.36,2.26,88,1.28,520,3
13.45,3.7,2.6,111,1.7,695,3
12.82,3.37,2.3,88,1.48,685,3
13.58,2.58,2.69,105,1.55,750,3
13.4,4.6,2.86,112,1.98,630,3
12.2,3.03,2.32,96,1.25,510,3
12.77,2.39,2.28,86,1.39,470,3
14.16,2.51,2.48,91,1.68,660,3
13.71,5.65,2.45,95,1.68,740,3
13.4,3.91,2.48,102,1.8,750,3
13.27,4.28,2.26,120,1.59,835,3
13.17,2.59,2.37,120,1.65,840,3
14.13,4.1,2.74,96,2.05,560,3
